Category: All categories

Region,Red Bull energy drink: (2021)
Idaho,100
Vermont,100
West Virginia,66
Nebraska,66
Washington,57
Nevada,52
Oklahoma,52
Maine,52
Kentucky,52
Utah,47
Kansas,47
New Hampshire,47
New Mexico,42
Texas,42
Minnesota,42
Tennessee,42
Missouri,38
Georgia,38
Arizona,38
South Carolina,38
North Carolina,38
Illinois,38
Michigan,38
Iowa,38
Colorado,38
Ohio,38
Alabama,38
Virginia,38
Wisconsin,38
California,38
Louisiana,33
Arkansas,33
Mississippi,33
Pennsylvania,33
Oregon,28
New Jersey,28
New York,28
Maryland,28
Indiana,28
Florida,28
Massachusetts,23
Connecticut,19
Alaska,
South Dakota,
Rhode Island,
North Dakota,
Montana,
Hawaii,
Delaware,
District of Columbia,
Wyoming,
