Category: All categories

Region,Rockstar energy drink: (2021)
Idaho,100
Alaska,87
Oregon,74
Utah,70
North Dakota,61
Iowa,54
Nebraska,54
Washington,51
Montana,45
Nevada,45
Arkansas,45
Arizona,41
Minnesota,41
Oklahoma,41
Hawaii,41
California,41
New Mexico,38
West Virginia,38
Kansas,38
Wisconsin,38
Kentucky,35
New Hampshire,35
Ohio,32
Pennsylvania,32
Colorado,32
Michigan,29
Maine,29
Rhode Island,25
Indiana,25
Illinois,22
Missouri,22
Texas,22
Tennessee,22
Maryland,22
Louisiana,22
Mississippi,19
Connecticut,19
Virginia,19
Florida,19
Georgia,19
Alabama,19
North Carolina,19
New Jersey,19
New York,16
Massachusetts,12
South Carolina,9
South Dakota,
Delaware,
Vermont,
District of Columbia,
Wyoming,
