Category: All categories

Region,Celsius Energy Drink: (2024)
Nebraska,100
Mississippi,97
Montana,95
Maine,95
South Carolina,95
Michigan,93
South Dakota,93
Georgia,93
Indiana,90
Alabama,90
Wyoming,90
Kansas,90
Utah,90
Arkansas,90
Tennessee,88
Idaho,88
Iowa,88
Arizona,88
Louisiana,86
Ohio,86
Wisconsin,86
New Hampshire,83
North Carolina,83
North Dakota,83
West Virginia,83
Minnesota,83
Virginia,81
Kentucky,81
Colorado,79
Rhode Island,79
Florida,79
Missouri,79
Texas,79
Nevada,79
Pennsylvania,79
Maryland,76
District of Columbia,76
Connecticut,76
Illinois,76
Delaware,74
Washington,74
Alaska,69
Massachusetts,69
Vermont,69
New York,69
New Jersey,67
Oklahoma,67
California,67
Hawaii,67
Oregon,60
New Mexico,60
