Category: All categories

Region,Monster energy drink: (2024)
Iowa,100
Utah,90
Nebraska,84
Idaho,81
Mississippi,81
Arkansas,80
Oklahoma,78
Alaska,78
Kentucky,78
Kansas,76
West Virginia,76
Wyoming,76
Missouri,76
Indiana,73
Arizona,73
North Dakota,72
Montana,70
South Dakota,70
Tennessee,67
Vermont,64
Wisconsin,64
New Mexico,64
Alabama,64
Ohio,64
Maine,63
Nevada,61
Minnesota,60
Michigan,58
Louisiana,56
Hawaii,56
South Carolina,55
Washington,55
North Carolina,55
Oregon,55
New Hampshire,53
Texas,53
Illinois,53
Georgia,53
Colorado,52
Delaware,50
Virginia,50
Connecticut,49
Pennsylvania,47
California,46
Florida,46
Maryland,41
New York,41
Massachusetts,38
New Jersey,38
Rhode Island,35
District of Columbia,26
