Category: All categories

Region,C4 Energy Drink: (2024)
Oklahoma,100
Iowa,97
North Dakota,92
West Virginia,90
Kansas,87
Nebraska,85
Louisiana,82
Indiana,82
Mississippi,80
Texas,80
Missouri,77
Kentucky,77
Minnesota,75
Arkansas,75
Tennessee,75
Ohio,72
Delaware,72
Arizona,72
Wisconsin,72
Illinois,70
South Carolina,67
Vermont,65
Idaho,65
Pennsylvania,62
Alabama,62
Michigan,60
Hawaii,57
Rhode Island,57
Nevada,57
Montana,55
New York,55
Connecticut,55
California,55
Utah,52
North Carolina,52
Maryland,50
Georgia,50
Massachusetts,50
Alaska,50
New Hampshire,47
New Mexico,47
Maine,47
Oregon,47
Florida,45
Washington,45
Virginia,45
New Jersey,42
Colorado,40
District of Columbia,27
South Dakota,
Wyoming,
