Category: All categories

Region,Rockstar energy drink: (2017)
Wyoming,100
Oregon,100
Nevada,92
Utah,84
Washington,84
Idaho,64
Hawaii,44
Arkansas,44
Arizona,40
California,40
New Mexico,40
Wisconsin,36
Kansas,36
Nebraska,36
Minnesota,36
Iowa,32
Indiana,32
Michigan,32
Colorado,32
Tennessee,24
Pennsylvania,24
Missouri,24
New York,24
Ohio,24
Kentucky,24
North Carolina,20
Florida,20
Texas,20
Mississippi,20
Illinois,20
South Carolina,20
Georgia,16
Virginia,16
Louisiana,16
Oklahoma,16
Connecticut,16
District of Columbia,12
Alabama,12
Maryland,12
New Jersey,12
Massachusetts,12
North Dakota,
New Hampshire,
Montana,
Maine,
Rhode Island,
South Dakota,
Delaware,
Vermont,
West Virginia,
Alaska,
