Category: All categories

Region,Red Bull energy drink: (2017)
Arkansas,100
West Virginia,76
Maine,69
Utah,61
Minnesota,61
Washington,61
Mississippi,61
New York,61
Wisconsin,53
Kentucky,53
Nevada,53
Oklahoma,53
Iowa,53
Louisiana,53
Arizona,53
Alabama,53
Michigan,46
Oregon,46
Ohio,46
Indiana,46
Missouri,46
South Carolina,46
Virginia,46
California,46
Connecticut,46
Texas,46
Pennsylvania,46
New Jersey,46
North Carolina,38
Illinois,38
Nebraska,38
Colorado,38
District of Columbia,38
Georgia,38
Tennessee,38
Florida,38
Kansas,38
Massachusetts,30
Maryland,23
Alaska,
Rhode Island,
South Dakota,
New Mexico,
New Hampshire,
North Dakota,
Montana,
Vermont,
Idaho,
Hawaii,
Delaware,
Wyoming,
