Category: All categories

Region,Red Bull energy drink: (2018)
Idaho,100
Kansas,56
Washington,50
Iowa,50
New Hampshire,50
Louisiana,50
West Virginia,43
Hawaii,43
Nevada,43
Connecticut,43
Mississippi,43
Arizona,43
Oregon,43
Missouri,43
Utah,37
New Mexico,37
Texas,37
Minnesota,37
Arkansas,37
South Carolina,37
Georgia,37
New York,37
California,31
Florida,31
Wisconsin,31
Indiana,31
Kentucky,31
Illinois,31
Michigan,31
New Jersey,31
Pennsylvania,31
Maryland,31
Nebraska,31
Tennessee,25
North Carolina,25
Ohio,25
Alabama,25
Oklahoma,25
Colorado,25
Virginia,25
Massachusetts,18
Alaska,
South Dakota,
Rhode Island,
North Dakota,
Montana,
Vermont,
Maine,
Delaware,
District of Columbia,
Wyoming,
