Category: All categories

Region,Rockstar energy drink: (2018)
Utah,100
Oregon,80
Nevada,76
Washington,69
Idaho,53
Montana,46
Arizona,42
Hawaii,42
Colorado,38
California,38
Wisconsin,38
New Mexico,34
Nebraska,30
Iowa,30
Indiana,30
Arkansas,30
Kentucky,26
Minnesota,26
Missouri,26
Ohio,26
Pennsylvania,23
Oklahoma,23
Michigan,23
South Carolina,23
Connecticut,23
Alabama,19
Kansas,19
Virginia,19
Illinois,19
Texas,19
Florida,19
Georgia,19
North Carolina,15
New York,15
Massachusetts,15
Tennessee,15
Maryland,15
Louisiana,15
New Jersey,7
Alaska,
Rhode Island,
South Dakota,
New Hampshire,
North Dakota,
Mississippi,
Maine,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
