Category: All categories

Region,Celsius Energy Drink: (2018)
New Hampshire,100
Mississippi,54
Florida,45
Kansas,45
Texas,36
Maryland,27
California,27
Arizona,27
Georgia,27
Alabama,18
Virginia,18
Colorado,18
Connecticut,18
Minnesota,18
South Carolina,18
North Carolina,18
Tennessee,18
Massachusetts,18
Illinois,18
Michigan,9
New York,9
New Jersey,9
Missouri,9
Ohio,9
Indiana,9
Pennsylvania,9
Alaska,
Wyoming,
North Dakota,
Nebraska,
Maine,
Louisiana,
New Mexico,
Nevada,
Kentucky,
Idaho,
Oklahoma,
Oregon,
Iowa,
Rhode Island,
Hawaii,
South Dakota,
Delaware,
District of Columbia,
Utah,
Arkansas,
Vermont,
Washington,
Wisconsin,
West Virginia,
Montana,
