Category: All categories

Region,C4 Energy Drink: (2020)
Nebraska,100
Arizona,100
Kansas,72
Texas,63
West Virginia,63
Oklahoma,63
Pennsylvania,54
Arkansas,54
Indiana,54
Ohio,54
Utah,45
Idaho,45
Kentucky,45
Missouri,45
Tennessee,45
Louisiana,45
Georgia,45
California,45
South Carolina,45
Illinois,36
North Carolina,36
Washington,36
New York,36
Florida,36
Minnesota,36
Iowa,36
Mississippi,36
Maryland,36
Connecticut,36
Wisconsin,36
Alabama,27
Virginia,27
Massachusetts,27
Michigan,27
Colorado,18
Nevada,18
New Jersey,18
Oregon,18
Alaska,
Rhode Island,
New Mexico,
South Dakota,
New Hampshire,
North Dakota,
Montana,
Maine,
Vermont,
Hawaii,
Delaware,
District of Columbia,
Wyoming,
