Category: All categories

Region,Red Bull energy drink: (2020)
Idaho,100
Maine,75
South Dakota,75
Nebraska,62
Oklahoma,62
New Mexico,62
Washington,62
Hawaii,62
West Virginia,56
Oregon,56
Alabama,56
Utah,56
Arkansas,56
Minnesota,50
Kansas,50
Connecticut,50
Michigan,50
Arizona,43
Virginia,43
Texas,43
Nevada,43
Rhode Island,43
Colorado,43
North Carolina,43
Wisconsin,43
South Carolina,43
Ohio,43
Iowa,37
New Hampshire,37
Georgia,37
Florida,37
Missouri,37
Tennessee,37
Louisiana,37
New York,37
Pennsylvania,37
California,37
Indiana,37
Kentucky,37
Massachusetts,37
Illinois,37
Mississippi,31
New Jersey,31
Maryland,31
Alaska,
North Dakota,
Vermont,
Montana,
Delaware,
District of Columbia,
Wyoming,
