Category: All categories

Region,5 Hour Energy drink: (2020)
Indiana,100
Arkansas,100
Wisconsin,60
Ohio,60
South Carolina,60
Kentucky,60
Louisiana,60
Georgia,60
Maryland,60
North Carolina,60
Michigan,60
Pennsylvania,60
Oklahoma,60
Washington,60
New York,60
Illinois,60
Arizona,60
Minnesota,60
Tennessee,40
New Jersey,40
Texas,40
Colorado,40
Florida,40
Missouri,40
Massachusetts,40
Alabama,40
Virginia,40
California,40
Connecticut,40
Alaska,
New Hampshire,
Nebraska,
New Mexico,
Nevada,
North Dakota,
Montana,
Mississippi,
Oregon,
Maine,
Rhode Island,
Kansas,
South Dakota,
Idaho,
Iowa,
Utah,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
