Category: All categories

Region,5 Hour Energy drink: (2024)
Maine,100
Louisiana,75
New Mexico,62
Nebraska,62
Kentucky,62
Michigan,62
Minnesota,50
Virginia,50
Pennsylvania,50
Ohio,50
Indiana,50
Missouri,50
Nevada,37
Georgia,37
North Carolina,37
Alabama,37
Illinois,37
Oklahoma,37
South Carolina,37
Florida,37
Massachusetts,37
Arizona,37
New Jersey,37
Wisconsin,37
Maryland,37
Tennessee,37
Texas,25
Utah,25
California,25
Washington,25
New York,25
Oregon,25
Colorado,12
Alaska,
New Hampshire,
North Dakota,
Montana,
Mississippi,
Kansas,
Rhode Island,
Idaho,
South Dakota,
Iowa,
Hawaii,
Delaware,
District of Columbia,
Vermont,
Connecticut,
Arkansas,
West Virginia,
Wyoming,
