Category: All categories

Region,Bang energy drink: (2024)
West Virginia,100
Alaska,93
Iowa,93
Kansas,82
Kentucky,79
Nevada,79
Mississippi,75
Alabama,75
Nebraska,75
Tennessee,72
Indiana,72
Wisconsin,72
Arkansas,72
Idaho,72
Arizona,68
New Mexico,68
Utah,68
Texas,65
Louisiana,65
North Dakota,65
Minnesota,65
Ohio,62
South Carolina,62
Washington,62
Oklahoma,62
Montana,62
Missouri,58
Oregon,55
Florida,55
Michigan,55
North Carolina,55
Delaware,51
Illinois,51
Georgia,48
California,48
Pennsylvania,48
Hawaii,48
Virginia,44
Colorado,44
New Hampshire,44
Maryland,41
New Jersey,41
Connecticut,41
Rhode Island,41
Maine,37
District of Columbia,37
New York,34
Massachusetts,31
Vermont,
South Dakota,
Wyoming,
