Category: All categories

Region,Rockstar energy drink: (2024)
Iowa,100
Utah,100
Oregon,86
Alaska,82
Idaho,82
Washington,65
Montana,65
Nevada,60
Arizona,56
Maine,52
California,52
Delaware,47
Rhode Island,47
Nebraska,47
New Mexico,43
Wisconsin,43
Missouri,43
Tennessee,39
Minnesota,39
Oklahoma,39
Indiana,39
Kansas,39
Michigan,39
Colorado,34
Illinois,34
Arkansas,34
Texas,34
North Carolina,30
Kentucky,30
Connecticut,30
Pennsylvania,30
Ohio,26
New Jersey,26
New York,26
Massachusetts,26
Alabama,26
Florida,21
Georgia,21
Virginia,21
Maryland,21
Louisiana,17
South Carolina,17
Mississippi,17
South Dakota,
New Hampshire,
North Dakota,
Vermont,
Hawaii,
District of Columbia,
West Virginia,
Wyoming,
