Category: All categories

Region,Celsius Energy Drink: (2020)
North Dakota,100
Florida,47
Oklahoma,42
Texas,38
District of Columbia,38
Kansas,38
Minnesota,38
Tennessee,33
California,33
Arizona,33
Massachusetts,33
Hawaii,33
Nevada,33
Nebraska,28
New Hampshire,28
Georgia,28
Iowa,28
Indiana,23
Maryland,23
Louisiana,23
Virginia,23
South Carolina,23
Oregon,23
North Carolina,23
Colorado,19
Washington,19
New Jersey,19
Alabama,19
Mississippi,19
Michigan,19
Missouri,19
Connecticut,19
Pennsylvania,19
Ohio,19
Illinois,19
Wisconsin,19
Arkansas,14
New York,14
Kentucky,14
Alaska,
Rhode Island,
South Dakota,
New Mexico,
Montana,
Utah,
Maine,
Vermont,
Idaho,
Delaware,
West Virginia,
Wyoming,
