Category: All categories

Region,Bang energy drink: (2020)
North Dakota,100
Indiana,90
West Virginia,89
Oklahoma,86
Kentucky,86
Nebraska,85
Wisconsin,84
Alabama,82
Texas,81
Iowa,77
Mississippi,77
Kansas,77
Arizona,77
Idaho,76
Nevada,76
New Mexico,74
South Carolina,74
Arkansas,73
Missouri,73
Ohio,73
Wyoming,72
Alaska,71
Michigan,71
South Dakota,71
Minnesota,70
North Carolina,69
Connecticut,69
Maine,67
Delaware,66
Louisiana,63
Utah,63
Virginia,63
Illinois,63
Georgia,62
Tennessee,61
Pennsylvania,61
Montana,61
California,60
Rhode Island,60
Washington,60
New Hampshire,57
Oregon,57
Colorado,55
New Jersey,55
Hawaii,52
Maryland,52
Vermont,52
Massachusetts,50
Florida,45
New York,43
District of Columbia,30
