Category: All categories

Region,Rockstar energy drink: (2020)
Utah,100
Oregon,77
South Dakota,64
Montana,58
Washington,54
Nevada,51
Idaho,51
North Dakota,48
Iowa,45
Oklahoma,41
Wisconsin,41
California,35
Colorado,35
New Mexico,35
Arizona,35
West Virginia,32
Indiana,32
New Hampshire,32
Missouri,29
Ohio,29
Michigan,29
Arkansas,25
Hawaii,25
Tennessee,25
Nebraska,25
Kansas,25
Pennsylvania,22
Connecticut,22
Illinois,22
Texas,22
Maryland,22
Minnesota,22
Maine,22
Kentucky,22
Florida,19
Virginia,19
Alabama,19
North Carolina,19
Georgia,19
Louisiana,16
New York,16
Mississippi,16
New Jersey,16
South Carolina,16
Massachusetts,16
Alaska,
Vermont,
Rhode Island,
Delaware,
District of Columbia,
Wyoming,
