Category: All categories

Region,C4 Energy Drink: (2018)
Oregon,100
California,100
Texas,50
Arizona,50
Ohio,50
New York,50
Georgia,<1
Florida,<1
Pennsylvania,<1
Illinois,<1
Alaska,
Wyoming,
Iowa,
Idaho,
Delaware,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
North Carolina,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
District of Columbia,
Connecticut,
Oklahoma,
Colorado,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Hawaii,
