Category: All categories

Region,Bang energy drink: (2018)
Nebraska,100
Idaho,94
Arizona,90
Texas,79
Washington,78
South Dakota,78
Louisiana,76
Iowa,70
Oklahoma,70
North Dakota,69
Arkansas,69
California,68
Oregon,62
Nevada,62
Kansas,60
Indiana,58
Utah,56
New Mexico,52
Missouri,52
Wyoming,48
Florida,44
Kentucky,43
Ohio,41
Alabama,40
Tennessee,40
South Carolina,34
Wisconsin,33
Mississippi,32
Colorado,32
Michigan,32
Illinois,31
Alaska,30
Minnesota,29
Georgia,29
Hawaii,29
North Carolina,26
Montana,23
Rhode Island,21
Virginia,21
Maryland,20
West Virginia,19
New Jersey,18
Pennsylvania,17
Delaware,17
Connecticut,16
New York,13
Massachusetts,11
New Hampshire,11
Maine,8
District of Columbia,6
Vermont,
