Category: All categories

Region,C4 Energy Drink: (2021)
South Dakota,100
Oklahoma,93
Arizona,87
Texas,87
Ohio,87
Mississippi,87
West Virginia,81
Rhode Island,81
Iowa,81
Alabama,75
Missouri,75
Tennessee,75
South Carolina,68
Louisiana,68
Kentucky,68
Nebraska,68
New York,68
North Carolina,62
Georgia,62
Nevada,62
Arkansas,62
New Mexico,62
Pennsylvania,62
Michigan,56
Indiana,56
Massachusetts,56
Connecticut,56
Idaho,56
Kansas,56
Illinois,56
Wisconsin,56
Florida,50
Washington,50
California,50
Virginia,50
New Hampshire,50
Utah,50
Minnesota,50
Oregon,43
Maryland,43
Colorado,37
New Jersey,37
Alaska,
North Dakota,
Montana,
Maine,
Vermont,
Hawaii,
Delaware,
District of Columbia,
Wyoming,
