Category: All categories

Region,Monster energy drink: (2017)
Iowa,100
West Virginia,97
Oklahoma,93
North Dakota,88
Idaho,88
Arizona,88
Utah,86
Wyoming,86
Wisconsin,83
Kansas,83
Nebraska,83
Kentucky,83
South Dakota,81
Indiana,81
Alabama,81
Alaska,79
Missouri,79
New Mexico,76
Tennessee,76
Ohio,74
Arkansas,72
Maine,72
Michigan,69
Louisiana,69
North Carolina,67
Nevada,65
Minnesota,65
South Carolina,65
Texas,65
Colorado,65
Washington,62
Hawaii,62
Mississippi,62
Illinois,62
Oregon,62
Georgia,62
New Hampshire,60
Delaware,60
Virginia,58
Florida,58
Montana,58
Rhode Island,55
Pennsylvania,55
California,55
Connecticut,53
New York,53
Massachusetts,48
New Jersey,46
Maryland,41
District of Columbia,34
Vermont,
