Category: All categories

Region,Celsius Energy Drink: (2017)
South Carolina,100
Nevada,75
Kentucky,75
Florida,75
Texas,50
California,50
Georgia,50
Massachusetts,50
Minnesota,50
New Jersey,25
Maryland,25
Tennessee,25
New York,25
North Carolina,25
Pennsylvania,25
Washington,25
Illinois,25
Ohio,25
Alaska,
Wyoming,
Kansas,
Maine,
Michigan,
Indiana,
Missouri,
Mississippi,
Montana,
Idaho,
North Dakota,
Nebraska,
New Hampshire,
Iowa,
New Mexico,
Hawaii,
Delaware,
District of Columbia,
Oklahoma,
Oregon,
Connecticut,
Rhode Island,
Colorado,
South Dakota,
Arizona,
Arkansas,
Utah,
Virginia,
Vermont,
Alabama,
Wisconsin,
West Virginia,
Louisiana,
