Category: All categories

Region,Monster energy drink: (2015)
Arkansas,100
Idaho,92
Iowa,89
Missouri,89
Hawaii,87
Kentucky,85
Tennessee,80
Mississippi,80
New Mexico,80
Vermont,76
South Carolina,76
Louisiana,75
Oklahoma,73
Texas,73
Michigan,73
Georgia,73
Alaska,73
Wisconsin,71
Utah,71
Ohio,71
Nebraska,71
North Carolina,71
West Virginia,69
Alabama,69
Illinois,69
Indiana,69
Wyoming,67
Colorado,67
Minnesota,67
Arizona,66
Nevada,66
Maine,62
New Hampshire,60
Washington,58
California,57
Florida,57
District of Columbia,55
Kansas,55
North Dakota,55
Delaware,55
Pennsylvania,55
Connecticut,53
Montana,51
Maryland,50
Oregon,48
New York,48
Massachusetts,42
New Jersey,41
Rhode Island,41
Virginia,39
South Dakota,
