Category: All categories

Region,5 Hour Energy drink: (2015)
Oklahoma,100
Iowa,87
Missouri,75
Tennessee,75
District of Columbia,75
Ohio,62
New York,62
Georgia,62
Illinois,62
California,62
Kentucky,62
Michigan,62
Texas,50
Maryland,50
New Jersey,50
South Carolina,50
Massachusetts,50
Wisconsin,50
Pennsylvania,50
Florida,50
Washington,50
Colorado,50
Indiana,50
Arizona,50
North Carolina,50
Virginia,50
Minnesota,37
Oregon,25
Alaska,
Nebraska,
New Hampshire,
North Dakota,
New Mexico,
Nevada,
Montana,
Mississippi,
Maine,
Louisiana,
Kansas,
Rhode Island,
Idaho,
South Dakota,
Hawaii,
Delaware,
Utah,
Connecticut,
Vermont,
Arkansas,
Alabama,
West Virginia,
Wyoming,
