Category: All categories

Region,Celsius Energy Drink: (2023)
South Dakota,100
Delaware,100
Maine,95
Minnesota,95
Iowa,95
Michigan,95
North Dakota,93
Idaho,91
Arizona,89
Alabama,89
Oklahoma,89
Tennessee,89
Georgia,89
Pennsylvania,89
North Carolina,89
South Carolina,86
Indiana,86
Connecticut,84
Nebraska,84
Arkansas,84
New Hampshire,84
Nevada,82
Mississippi,82
Wisconsin,82
Illinois,82
Ohio,80
Florida,80
Maryland,80
Missouri,80
Hawaii,80
Massachusetts,78
Louisiana,78
Montana,78
New Jersey,78
Texas,76
Kansas,76
Colorado,76
Virginia,73
Utah,73
Kentucky,73
New Mexico,73
California,73
Washington,71
West Virginia,69
Rhode Island,69
Oregon,69
District of Columbia,65
New York,63
Alaska,60
Vermont,60
Wyoming,39
