Category: All categories

Region,Red Bull energy drink: (2023)
Idaho,100
North Dakota,85
New Mexico,75
Utah,75
Nebraska,75
Arizona,70
Washington,70
Montana,70
South Dakota,65
Louisiana,65
Arkansas,65
Iowa,65
Oklahoma,65
Oregon,65
Michigan,60
Kentucky,60
Missouri,60
Maine,60
Texas,60
New Hampshire,55
Tennessee,55
Mississippi,55
Nevada,55
South Carolina,55
Ohio,55
Wisconsin,55
Minnesota,55
Alabama,50
Colorado,50
Kansas,50
Pennsylvania,50
Georgia,50
Virginia,50
California,50
Indiana,50
Connecticut,45
West Virginia,45
New Jersey,45
Illinois,45
North Carolina,45
Florida,45
Maryland,40
New York,40
Hawaii,35
Massachusetts,35
Alaska,
Vermont,
Rhode Island,
Delaware,
District of Columbia,
Wyoming,
