Category: All categories

Region,Rockstar energy drink: (2022)
Alaska,100
Oregon,100
Utah,100
Idaho,91
Iowa,82
Nevada,73
Vermont,73
Washington,69
North Dakota,69
Arizona,65
Nebraska,60
Hawaii,56
Minnesota,56
Kentucky,56
South Dakota,56
California,52
Oklahoma,47
Delaware,47
West Virginia,47
Wisconsin,43
Montana,43
Mississippi,43
Arkansas,43
Colorado,43
Indiana,43
Missouri,43
Rhode Island,43
Kansas,43
Michigan,43
Ohio,39
Tennessee,39
Pennsylvania,39
New Mexico,34
Illinois,34
Texas,30
Maryland,30
Maine,30
Connecticut,30
Florida,26
Louisiana,26
Georgia,26
Massachusetts,26
New Jersey,26
North Carolina,26
Virginia,26
New York,26
Alabama,26
South Carolina,26
New Hampshire,
District of Columbia,
Wyoming,
