Category: All categories

Region,Bang energy drink: (2022)
North Dakota,100
Nebraska,98
Oklahoma,95
West Virginia,93
Iowa,90
Indiana,84
Kentucky,84
South Dakota,84
Wyoming,83
Mississippi,81
Alabama,80
Idaho,80
Minnesota,80
Arizona,78
New Mexico,78
Missouri,78
Tennessee,77
Kansas,75
Nevada,75
Ohio,74
Louisiana,74
North Carolina,72
Michigan,72
Utah,72
Maine,72
Arkansas,71
Pennsylvania,71
Hawaii,71
Wisconsin,71
Vermont,71
Oregon,71
Alaska,69
Washington,68
Texas,66
South Carolina,65
Virginia,65
California,65
Illinois,63
Connecticut,63
Rhode Island,62
Colorado,62
New Hampshire,60
New Jersey,59
Georgia,59
Maryland,59
Florida,57
Montana,57
Delaware,54
Massachusetts,46
New York,42
District of Columbia,40
