Category: All categories

Region,Rockstar energy drink: (2016)
Oregon,100
Utah,95
Nevada,95
South Dakota,91
Washington,91
North Dakota,87
Montana,83
Idaho,83
West Virginia,62
Arizona,58
Wisconsin,50
Maine,50
California,50
Iowa,45
Colorado,45
Mississippi,33
Michigan,33
Minnesota,33
Oklahoma,33
Nebraska,29
Tennessee,29
Arkansas,29
Kansas,29
District of Columbia,29
Missouri,29
Ohio,25
Illinois,25
Kentucky,25
South Carolina,25
Indiana,25
Pennsylvania,25
Texas,25
Florida,25
Virginia,20
Georgia,20
Connecticut,20
Maryland,20
New Jersey,20
Alabama,16
New York,16
Louisiana,16
Massachusetts,16
North Carolina,16
Alaska,
Rhode Island,
New Mexico,
Vermont,
New Hampshire,
Hawaii,
Delaware,
Wyoming,
