Category: All categories

Region,Monster energy drink: (2016)
South Dakota,100
West Virginia,100
Wyoming,97
Oklahoma,95
Idaho,95
Arkansas,93
Iowa,86
Utah,86
Nebraska,84
Indiana,80
Missouri,80
Kansas,77
Kentucky,77
Alabama,75
Arizona,75
Maine,75
North Dakota,73
Hawaii,71
New Hampshire,71
Mississippi,71
Wisconsin,71
Michigan,71
Tennessee,71
South Carolina,71
Texas,68
Nevada,68
North Carolina,64
Louisiana,64
Ohio,64
Alaska,62
Virginia,62
New Mexico,62
Georgia,62
Minnesota,60
Washington,60
Pennsylvania,60
Connecticut,60
Montana,57
California,55
Illinois,55
Florida,53
Delaware,53
New Jersey,51
Colorado,51
District of Columbia,51
Vermont,51
Maryland,48
New York,46
Oregon,44
Massachusetts,42
Rhode Island,22
