Category: All categories

Region,Celsius Energy Drink: (2016)
Florida,100
Texas,100
California,100
Virginia,50
New Jersey,50
Massachusetts,50
Georgia,50
Illinois,50
New York,50
North Carolina,50
Pennsylvania,50
Alaska,
Wyoming,
Idaho,
Hawaii,
Indiana,
Kansas,
Kentucky,
Louisiana,
Delaware,
Maryland,
Maine,
Michigan,
Minnesota,
Missouri,
Mississippi,
Montana,
District of Columbia,
North Dakota,
Nebraska,
New Hampshire,
Connecticut,
New Mexico,
Nevada,
Colorado,
Ohio,
Oklahoma,
Oregon,
Arizona,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Arkansas,
Utah,
Alabama,
Vermont,
Washington,
Wisconsin,
West Virginia,
Iowa,
