Category: All categories

Region,Bang energy drink: (2019)
Oklahoma,100
West Virginia,94
Nebraska,93
North Dakota,87
Wyoming,87
Arkansas,84
South Dakota,84
Ohio,81
Kentucky,78
Kansas,77
Louisiana,76
Texas,75
Mississippi,74
Indiana,74
New Mexico,72
Iowa,70
Alaska,68
Alabama,68
Arizona,66
Wisconsin,66
Idaho,65
Missouri,65
Utah,64
Montana,64
Nevada,63
Hawaii,62
South Carolina,61
Tennessee,58
Washington,56
Minnesota,55
Oregon,54
Michigan,53
Illinois,53
North Carolina,51
Maine,51
California,51
New Hampshire,50
Florida,48
Colorado,47
Georgia,45
Virginia,45
Connecticut,40
Rhode Island,37
Pennsylvania,36
Delaware,34
New Jersey,31
Vermont,31
Massachusetts,31
Maryland,31
New York,28
District of Columbia,20
