Category: All categories

Region,Red Bull energy drink: (2025)
North Dakota,100
West Virginia,80
New Mexico,77
South Dakota,65
Utah,62
Oklahoma,62
Arkansas,60
Kansas,57
Louisiana,54
Oregon,54
Kentucky,54
Arizona,54
Idaho,51
Nebraska,51
Montana,51
Iowa,51
Washington,48
Texas,48
Michigan,48
Mississippi,48
Nevada,48
Alabama,42
Colorado,42
Tennessee,42
South Carolina,42
Georgia,42
Ohio,42
Missouri,42
North Carolina,42
Connecticut,42
Wisconsin,40
Illinois,40
New Hampshire,40
Minnesota,40
Maine,40
Indiana,40
California,37
Virginia,37
Florida,34
Pennsylvania,31
New York,31
Maryland,31
New Jersey,31
Hawaii,28
Massachusetts,28
Alaska,
Vermont,
Rhode Island,
Delaware,
District of Columbia,
Wyoming,
