Category: All categories

Region,5 Hour Energy drink: (2025)
New Mexico,100
Utah,75
Missouri,62
Connecticut,62
Alabama,62
Tennessee,62
Georgia,50
Indiana,50
Arizona,50
South Carolina,50
Michigan,37
Ohio,37
Kentucky,37
Pennsylvania,37
Washington,37
Maryland,37
Virginia,37
Texas,37
Florida,37
Minnesota,37
North Carolina,37
Colorado,25
New York,25
California,25
New Jersey,25
Massachusetts,25
Illinois,25
Kansas,<1
Oregon,<1
Wisconsin,<1
Alaska,
New Hampshire,
Nebraska,
Nevada,
North Dakota,
Montana,
Oklahoma,
Mississippi,
Maine,
Rhode Island,
Louisiana,
South Dakota,
Idaho,
Iowa,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Arkansas,
West Virginia,
Wyoming,
