Category: All categories

Region,Rockstar energy drink: (2025)
Iowa,100
Oregon,74
Utah,74
Idaho,62
Nevada,59
Washington,55
Nebraska,55
New Hampshire,55
West Virginia,55
New Mexico,51
Rhode Island,44
Maine,44
California,44
Arizona,40
Wisconsin,37
Kentucky,37
Illinois,37
Connecticut,37
Missouri,37
Indiana,33
Michigan,33
Mississippi,33
Ohio,33
Kansas,33
Texas,33
Minnesota,29
South Carolina,29
Colorado,25
Alabama,25
Maryland,25
Pennsylvania,25
Massachusetts,25
New York,25
Tennessee,22
Oklahoma,22
Florida,22
North Carolina,18
Georgia,18
Virginia,18
New Jersey,14
Louisiana,11
Wyoming,7
Montana,3
Arkansas,<1
South Dakota,
North Dakota,
Hawaii,
Vermont,
Delaware,
District of Columbia,
Alaska,
