Category: All categories

Region,Celsius Energy Drink: (2025)
Wyoming,100
Alaska,87
South Dakota,85
North Dakota,85
Delaware,81
Alabama,81
Michigan,80
Maine,80
Montana,78
Maryland,78
New Mexico,76
Oklahoma,76
Nevada,76
Mississippi,76
North Carolina,76
South Carolina,76
Georgia,74
Indiana,74
Arkansas,74
Wisconsin,74
Arizona,72
Ohio,72
Missouri,72
Tennessee,72
Louisiana,72
Kansas,70
Texas,70
Illinois,70
Iowa,70
Idaho,70
Minnesota,70
Florida,69
Washington,69
Virginia,69
Pennsylvania,67
Colorado,67
Oregon,67
Kentucky,67
New Hampshire,67
West Virginia,67
Utah,65
Vermont,65
Massachusetts,65
Connecticut,65
Rhode Island,61
New York,61
California,61
Hawaii,60
District of Columbia,58
New Jersey,58
Nebraska,58
