Category: All categories

Region,5 Hour Energy drink: (2023)
Idaho,100
Michigan,85
Iowa,85
Nebraska,85
Arizona,71
Kentucky,71
Maryland,71
Minnesota,57
Ohio,57
Mississippi,57
Nevada,57
Pennsylvania,57
Wisconsin,57
Kansas,57
Arkansas,57
Virginia,57
Indiana,57
Illinois,57
Oklahoma,57
Georgia,57
Massachusetts,57
Tennessee,57
Louisiana,42
Florida,42
North Carolina,42
Washington,42
Texas,42
Connecticut,42
Missouri,42
South Carolina,42
Oregon,42
California,42
Alabama,42
New York,42
Utah,42
New Jersey,28
Colorado,28
Alaska,
New Mexico,
Rhode Island,
New Hampshire,
South Dakota,
North Dakota,
Montana,
Maine,
Hawaii,
Vermont,
Delaware,
District of Columbia,
West Virginia,
Wyoming,
