Category: All categories

Region,Rockstar energy drink: (2023)
Utah,100
Idaho,92
Iowa,84
Alaska,80
Oregon,80
South Dakota,80
Washington,69
Montana,61
Nevada,57
North Dakota,57
Maine,57
New Mexico,57
Arizona,53
Kentucky,53
Nebraska,53
California,50
Vermont,50
Rhode Island,50
Wisconsin,46
Minnesota,46
New Hampshire,42
Colorado,42
Oklahoma,42
West Virginia,42
Tennessee,38
Connecticut,38
Arkansas,34
Michigan,34
Ohio,34
Hawaii,34
Illinois,34
Missouri,30
Indiana,30
Pennsylvania,30
Massachusetts,30
Texas,30
Kansas,30
Alabama,26
New York,26
North Carolina,23
Virginia,23
Louisiana,23
Mississippi,23
Florida,23
Georgia,19
South Carolina,19
Maryland,19
New Jersey,19
Delaware,
District of Columbia,
Wyoming,
