Category: All categories

Region,Monster energy drink: (2023)
Iowa,100
West Virginia,91
Nebraska,89
Idaho,88
Utah,85
North Dakota,85
Kentucky,83
Arkansas,82
Missouri,80
Oklahoma,76
Indiana,75
Kansas,73
Arizona,73
Ohio,72
South Dakota,70
Wisconsin,70
Alabama,70
Montana,69
Minnesota,67
Tennessee,67
New Mexico,66
Mississippi,66
Maine,63
Louisiana,63
Alaska,61
Hawaii,61
Michigan,61
Washington,60
Nevada,58
New Hampshire,57
Vermont,57
Illinois,57
Colorado,55
Texas,55
North Carolina,54
Pennsylvania,54
Wyoming,52
South Carolina,52
Georgia,52
Delaware,51
Rhode Island,51
Oregon,51
Virginia,50
Connecticut,48
Maryland,47
California,47
Florida,45
New York,41
Massachusetts,39
New Jersey,38
District of Columbia,22
