Category: All categories

Region,Bang energy drink: (2023)
South Dakota,100
Montana,78
Iowa,73
Oklahoma,67
Missouri,67
Nebraska,66
Arkansas,66
Arizona,62
West Virginia,62
Indiana,62
North Dakota,62
Tennessee,60
Nevada,60
Wisconsin,60
Idaho,58
Kentucky,58
Oregon,57
New Hampshire,57
Kansas,57
Utah,57
Wyoming,57
Ohio,55
South Carolina,53
Minnesota,53
Michigan,51
Alabama,51
Texas,51
Louisiana,50
New Mexico,50
Washington,50
Pennsylvania,48
Florida,48
North Carolina,48
Virginia,46
Colorado,46
Illinois,44
Connecticut,44
Maine,44
Georgia,44
Mississippi,44
Massachusetts,42
California,42
Delaware,41
Maryland,41
Alaska,37
Rhode Island,37
New Jersey,35
Hawaii,33
New York,33
District of Columbia,25
Vermont,
