Category: All categories

Region,C4 Energy Drink: (2019)
Arizona,100
Nebraska,72
Iowa,72
West Virginia,63
California,63
Utah,54
Texas,54
Oklahoma,54
Kansas,54
Pennsylvania,45
Arkansas,45
Missouri,36
Tennessee,36
New York,36
Ohio,36
Florida,27
Nevada,27
Georgia,27
Virginia,27
Minnesota,27
South Carolina,27
Indiana,27
Washington,27
Illinois,27
Colorado,27
Louisiana,27
Oregon,18
Massachusetts,18
Maryland,18
Michigan,18
North Carolina,18
Alabama,18
Kentucky,18
Wisconsin,18
New Jersey,9
Alaska,
New Mexico,
New Hampshire,
North Dakota,
Rhode Island,
Montana,
South Dakota,
Mississippi,
Maine,
Idaho,
Hawaii,
Vermont,
Delaware,
District of Columbia,
Connecticut,
Wyoming,
