Category: All categories

Region,Monster energy drink: (2019)
Wyoming,100
West Virginia,96
Iowa,89
Idaho,82
Utah,78
Maine,78
Arkansas,75
Kansas,75
Indiana,75
South Dakota,73
Oklahoma,73
Hawaii,73
Missouri,71
North Dakota,71
Alabama,69
Arizona,69
New Hampshire,67
Kentucky,66
Ohio,66
Tennessee,64
Mississippi,64
Minnesota,64
Nebraska,62
Louisiana,62
Michigan,60
Montana,57
New Mexico,57
Washington,57
Georgia,57
Wisconsin,57
Illinois,55
North Carolina,55
Virginia,55
South Carolina,55
Rhode Island,53
Connecticut,53
Alaska,53
Texas,51
Nevada,50
Pennsylvania,50
Colorado,50
Vermont,46
Delaware,46
California,46
Florida,46
Maryland,44
New York,41
Massachusetts,41
Oregon,39
New Jersey,37
District of Columbia,16
