Category: All categories

Region,C4 Energy Drink: (2025)
North Dakota,100
Oklahoma,86
South Dakota,84
Louisiana,82
Kansas,78
Nebraska,78
Iowa,78
Texas,76
West Virginia,73
Missouri,69
Tennessee,69
Alabama,69
Indiana,67
Mississippi,65
Nevada,65
South Carolina,65
Arkansas,65
Ohio,65
Wisconsin,63
Minnesota,63
Kentucky,60
Alaska,60
New Mexico,60
Illinois,60
Delaware,56
Michigan,54
California,54
Arizona,54
Pennsylvania,54
Georgia,52
Idaho,50
Utah,47
Connecticut,47
North Carolina,45
Florida,43
New Hampshire,43
Hawaii,43
Colorado,41
Montana,41
New York,41
Massachusetts,41
Maryland,41
Virginia,41
Washington,39
Maine,39
New Jersey,39
Oregon,39
District of Columbia,32
Rhode Island,28
Wyoming,2
Vermont,
