Category: All categories

Region,Bang energy drink: (2025)
Louisiana,100
Idaho,100
Iowa,100
West Virginia,95
Indiana,95
Nebraska,91
South Carolina,91
South Dakota,86
Texas,82
Arkansas,82
Maine,82
Mississippi,82
Missouri,78
Alabama,78
Tennessee,73
Wisconsin,73
Kansas,73
Oklahoma,73
Illinois,69
North Carolina,69
Arizona,69
Kentucky,69
Washington,69
Nevada,65
Michigan,65
Ohio,65
Utah,65
Connecticut,60
Georgia,60
Florida,60
California,56
New Hampshire,56
Pennsylvania,56
New Mexico,56
Maryland,56
Colorado,56
Oregon,52
Hawaii,52
Minnesota,47
Virginia,47
District of Columbia,47
Massachusetts,47
New York,39
New Jersey,34
Montana,4
Alaska,
Vermont,
Rhode Island,
North Dakota,
Delaware,
Wyoming,
