Category: All categories

Region,Celsius Energy Drink: (2015)
Minnesota,100
Florida,50
North Carolina,50
Illinois,50
Georgia,50
Pennsylvania,50
California,50
Texas,50
New York,<1
Alaska,
Wyoming,
Hawaii,
Iowa,
Idaho,
District of Columbia,
Indiana,
Kansas,
Kentucky,
Louisiana,
Massachusetts,
Maryland,
Maine,
Michigan,
Connecticut,
Missouri,
Mississippi,
Montana,
Colorado,
North Dakota,
Nebraska,
New Hampshire,
New Jersey,
New Mexico,
Nevada,
Arizona,
Ohio,
Oklahoma,
Oregon,
Arkansas,
Rhode Island,
South Carolina,
South Dakota,
Tennessee,
Alabama,
Utah,
Virginia,
Vermont,
Washington,
Wisconsin,
West Virginia,
Delaware,
