Category: All categories

Region,Monster energy drink: (2022)
Utah,100
West Virginia,88
South Dakota,83
Oklahoma,83
Iowa,82
Nebraska,82
Idaho,82
Kentucky,82
Wyoming,82
Arkansas,80
Alabama,75
Kansas,75
Louisiana,70
North Dakota,70
Indiana,70
Missouri,70
Maine,69
New Mexico,69
Arizona,67
Ohio,67
Minnesota,66
Wisconsin,66
Mississippi,64
Tennessee,64
Hawaii,64
Nevada,62
Michigan,59
Delaware,58
Oregon,58
South Carolina,56
Alaska,56
Washington,56
Virginia,56
Pennsylvania,54
Colorado,53
Illinois,53
Texas,53
North Carolina,53
Connecticut,51
Montana,51
California,50
Georgia,50
New Hampshire,50
Rhode Island,46
Massachusetts,46
Vermont,45
Maryland,45
Florida,45
New York,41
New Jersey,41
District of Columbia,24
