Category: All categories

Region,Red Bull energy drink: (2022)
Idaho,100
North Dakota,93
Utah,93
Washington,86
Kansas,86
Kentucky,86
Oklahoma,86
Louisiana,86
Mississippi,80
Alabama,80
West Virginia,80
Oregon,80
Nevada,73
Texas,73
Iowa,73
Arkansas,73
Arizona,66
Michigan,66
Minnesota,66
New Mexico,66
Hawaii,66
Delaware,66
Colorado,60
District of Columbia,60
Georgia,60
Pennsylvania,60
Missouri,60
Nebraska,60
Ohio,60
South Carolina,60
Illinois,60
Montana,60
Maryland,53
Massachusetts,53
Maine,53
Indiana,53
Virginia,53
New Hampshire,53
California,53
Tennessee,53
Connecticut,53
Wisconsin,53
Rhode Island,53
Florida,46
North Carolina,46
New Jersey,46
New York,46
Alaska,
Vermont,
South Dakota,
Wyoming,
