Category: All categories

Region,5 Hour Energy drink: (2022)
Iowa,100
West Virginia,85
Oklahoma,85
Utah,57
Michigan,57
Alabama,57
Wisconsin,57
Kansas,57
Indiana,57
Louisiana,57
Ohio,57
Georgia,42
Missouri,42
Florida,42
Minnesota,42
Maryland,42
South Carolina,42
Nevada,42
Massachusetts,42
Pennsylvania,42
Texas,42
Arizona,42
Tennessee,42
Kentucky,42
Illinois,42
North Carolina,28
Virginia,28
Washington,28
California,28
Oregon,28
New York,28
Colorado,28
New Jersey,28
Alaska,
New Mexico,
New Hampshire,
Nebraska,
North Dakota,
Montana,
Rhode Island,
Mississippi,
South Dakota,
Maine,
Idaho,
Hawaii,
Delaware,
Vermont,
District of Columbia,
Connecticut,
Arkansas,
Wyoming,
