Category: All categories

Region,C4 Energy Drink: (2022)
West Virginia,100
Ohio,96
Oklahoma,96
North Dakota,93
Texas,93
Wyoming,89
Indiana,86
Iowa,82
Missouri,79
Mississippi,79
Arizona,79
Alabama,79
Maine,75
Tennessee,75
Alaska,72
Kansas,72
South Carolina,72
Nebraska,72
Louisiana,72
Pennsylvania,68
New York,68
Kentucky,68
Rhode Island,65
Michigan,65
Massachusetts,65
Minnesota,65
Hawaii,62
Idaho,62
South Dakota,62
Connecticut,62
New Jersey,62
New Mexico,62
North Carolina,62
Illinois,62
Georgia,58
New Hampshire,58
Arkansas,55
Virginia,55
Florida,55
Oregon,55
California,55
Delaware,55
Nevada,55
Maryland,51
Washington,51
Montana,51
Wisconsin,48
Utah,48
District of Columbia,31
Colorado,31
Vermont,
